,,category,sub-category,trope,definition,
19,1,Role Interaction,Action-I,Big Damn Heroes,"Any time the heroes/anti heroes get to save the day in a big, awesome manner.",Category changed
20,2,Role Interaction,Action-I,Heroic Sacrifice,"A character saves another/others from harm and is killed, crippled, or maimed as a result.",
21,3,Role Interaction,Action-I,"Screw This, I'm Outta Here!","Screw you guys, I'm going home.",
22,4,Role Interaction,Action-I,Kick the Dog,"When a character does something evil for no apparent gain, because the author wants to demonstrate that he's not a nice guy and shift 
audience sympathy away from him.",
23,5,Role Interaction,Action-I,Pet the Dog,"Show the nasty old crank petting a dog, and you show the audience, aw shucks, they're not that bad of a person after all.",
24,6,Role Interaction,Action-I,Villainous Breakdown,The tendency of relatively calm and composed villains to lose their cool over the course of the story.,
25,7,Role Interaction,Action-I,Precision F-Strike,"When a character suddenly swears in an uncharacteristically strong manner, or when a swear is unexpectedly used in a work with mild language.",
26,8,Role Interaction,Action-I,Cluster F-Bomb,Lots of swearing occur.,
27,9,Role Interaction,Action-I,Jerkass Has a Point,When a jerkass is right.,
28,10,Role Interaction,Action-I,Idiot Ball,"A moment where a character's stupidity fuels an episode, or a small plot line.",Category changed
29,11,Role Interaction,Action-I,Batman Gambit,A plan that revolves entirely around people doing exactly what you'd expect them to do.,Category changed
1,1,Situation,Entity,Police are Useless,"Whenever someone in film or on TV reports a murder, or a monster, or a stalker or whatever, the police come as close to ignoring them 
as procedure will allow. ",
2,2,Situation,Entity,The Dragon,"There is almost always someone, person or monster, The Hero has to get past to get at the Big Bad.",
3,3,Situation,Entity,Cool Car,The hero's ride has to be just as unique and awesome as the hero is. Enter a Cool Car!,
4,4,Situation,Entity,Body Horror,"This is any form of horror or squickiness involving body parts, parasitism, disfigurement, mutation, or unsettling bodily configuration.",
5,1,Situation,Concept,The Reveal,"A character is revealed as another character's father, a god, or secret suitor or arch nemesis in disguise.",
6,2,Situation,Concept,Curb-Stomp Battle,"A fight that's extremely one-sided, where one side just absolutely trashes the other with little-to-no effort",
7,3,Situation,Concept,Cassandra Truth,"Sometimes people just won't believe you even though you are telling the truth, because the truth sounds insane.",
8,4,Situation,Concept,Blatant Lies,A glaringly obvious lie.,
9,5,Situation,Concept,Crapsack World,A Crapsack World is a horrible setting of the world where it's dark and hopeless,
10,1,Situation,Effect,Comically Missing the Point,A character completely misses a really obvious point for comic effect.,
11,2,Situation,Effect,Fanservice,The use of sex or sexualized situations to reward or entice viewers.,
12,3,Situation,Effect,Fan Disservice,"Fan Disservice looks like regular garden variety Fanservice, except that the creators intentionally use the circumstances around it to make the 
scene outright creepy or disgusting.",
13,4,Situation,Effect,Brick Joke,When two seemingly unrelated jokes work together to create a comedic effect.,
14,5,Situation,Effect,Hypocritical Humor,A type of gag in which a character's actions or words contradict each other and this is Played for Laughs.,
15,6,Situation,Effect,Does This Remind You of Anything?,"Any situation which is made, sometimes for comic effect, sometimes for dramatic effect, to look like another situation.",
16,7,Situation,Effect,Black Comedy,"A sub-genre of comedy and satire where topics and events that are usually treated seriously are treated in a satirical manner, while still being 
portrayed as the negative events that they are.",
17,8,Situation,Effect,Irony,The intended meaning is an inversion of the plain meaning.,
18,9,Situation,Effect,Exact Words,"When the exact wording of a rule, promise, prophecy, etc. matters more than the spirit of the wording, it's an Exact Words situation.",
19,10,Situation,Effect,Stealth Pun,"The writers put in a joke (almost always a pun), but never make or put in a Punch Line or explicit statement, hiding it in the set up of the joke. ",
1,1,Story Line,Ending,Bittersweet Ending,"When victory came at a harsh price, when, for whatever reason, the heroes cannot fully enjoy the reward of their actions, when some 
irrevocable loss has happened during the course of the events, and nothing will ever be the same again.",
2,2,Story Line,Ending,Karma Houdini,"The character has done a number of things that deserve a karmic comeuppance, most importantly things that caused harm to the innocent. But 
when the time comes for the hammer to fall, that's not what happens. At least, not on them. They don\t get what they deserve.",
3,3,Story Line,Ending,Downer Ending,A finale to a movie that ends things in a way that varies from sad to tragic.,
4,4,Story Line,Ending,Laser-Guided Karma,"If you mistreat the people and things around you, karma will strike you down.",
5,5,Story Line,Ending,Earn Your Happy Ending,"A cast of characters in a story go through a lot more hardship, anguish and grief than is really necessary. In the end, however, you see them get 
their happily-ever-after.",
6,6,Story Line,Ending,Karmic Death,"When the villain dies in a manner that is completely their own fault. Or, at least, obviously not the hero's.",
7,1,Story Line,Turning,"Nice Job Breaking It, Hero!","The hero has accomplished their goal, but it turns out that by the very act of success, they've unwittingly made things worse.",
8,2,Story Line,Turning,"My God, What Have I Done?","Well-intentioned but misguided character (very likely a Tragic Hero, a Tragic Villain or Anti-Villain) comes to realize that his actions have
 caused incredible damage, physical pain, emotional pain, or even loss of life.",
9,3,Story Line,Turning,"What the Hell, Hero?","When characters In-Universe call out one of the heroes for doing something clearly unheroic, if not outright heinous.",
10,4,Story Line,Turning,Hope Spot,"The Protagonist is about to face utter defeat. Suddenly, he finds a glimmer of hope what have you only to be crushed cruelly by the bad guys 
returning in force.",
11,5,Story Line,Turning,Heel Face Turn,When a bad guy turns good.,
12,6,Story Line,Turning,Took a Level in Badass,A charcter who is transformed into someone stronger and tougher that the viewer almost can't recognize him.,
13,1,Story Line,Foreshadow,Chekhov's Gun,An insignificant object that later turns out to be important.,
14,2,Story Line,Foreshadow,Foreshadowing,A clue or allusion embedded in the narrative that predicts some later event or revelation.,
15,3,Story Line,Foreshadow,Chekhov's Skill,"Training in any kind of skill, ability, or knowledge that will likely later come in handy.",
16,4,Story Line,Foreshadow,Chekhov's Gunman,"Any character who is innocuously and unimportantly introduced to the viewer, but who later proves to be important by the end of the episode.",
17,5,Story Line,Foreshadow,Red Herring,A clue that leads in the wrong direction.,
18,1,Story Line,Echo,Ironic Echo,"When a character repeats a comment they received in a different situation, giving it a flipped or surprising new meaning.",
19,2,Story Line,Echo,Hoist by His Own Petard,The villain's own weapon or malicious plan is the cause of their downfall and/or death.,
20,3,Story Line,Echo,Meaningful Echo,"It occurs when characters, in their usual way, say things to one another, and repeat it later on to give extra meaning.",
21,4,Story Line,Echo,Freudian Excuse,"The villain had an abusive and particularly violent childhood (such as Abusive Parents, being bullied by peers, etc.), making them insane and warping their perception on the universe",definition modified
